Year,Month,State,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,11,KY,1552395,5.67,1552.0,2001.11
2001,11,LA,1539496,6.59,1539.0,2001.11
2001,11,MA,1310860,12.74,1311.0,2001.11
2001,11,MD,1638013,7.13,1638.0,2001.11
2001,11,ME,320521,12.68,321.0,2001.11
2001,11,MI,2323214,8.1,2323.0,2001.11
2001,11,MN,1420183,7.27,1420.0,2001.11
2001,11,MO,1810370,6.63,1810.0,2001.11
2001,11,MS,985571,7.13,986.0,2001.11
2001,11,MT,300062,7.1,300.0,2001.11
2001,11,NC,3077128,8.23,3077.0,2001.11
2001,11,ND,266377,6.31,266.0,2001.11
2001,11,NE,553861,6.31,554.0,2001.11
2001,11,NH,290823,11.73,291.0,2001.11
2001,11,NJ,1722445,9.79,1722.0,2001.11
2001,11,NM,341721,8.61,342.0,2001.11
2001,11,NV,473215,9.45,473.0,2001.11
2001,11,NY,3258001,13.53,3258.0,2001.11
2001,11,OH,3319205,7.95,3319.0,2001.11
